track_id;track_name;track_number;track_popularity;explicit;artist_name;artist_name & track name;artist_popularity;artist_followers;artist_genres;album_id;album_name;album_release_date;anno;decade;album_total_tracks;album_type;track_duration_min
4J1B7f8dgMWAcAHEm6Mvi8;Chasing the Day;1;51;False;TIMBER;TIMBER - Chasing the Day;32;37,00;N/A;1YpdA0q2CSLfAbPo24jED8;Chasing the Day;2025-10-09;2025;2020;1;single;2.63
0jPkYjkGxwWMsRaTQbhV0x;Used To Love;1;35;False;Maithili Raelle;Maithili Raelle - Used To Love;19;2633,00;N/A;6u5ctfBfLmlulyYDHhytqM;Used To Love;2025-10-08;2025;2020;1;single;2.21
7sgx2p6KPYPia5fowJNZzO;TBB;1;31;True;Sabir;Sabir - TBB;18;435,00;N/A;3cE0fQECVV51zi5yyXiTNE;TBB;2025-10-06;2025;2020;1;single;2.41
31TXxq8gfgYyrYClnYY48m;The Fate of Ophelia;1;87;False;Taylor Swift;Taylor Swift - The Fate of Ophelia;100;145443567,00;country, pop, indie, folk;1W57oNaAkGObOQKBTxg4e9;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.76
5eXgqtg3T8Av0m1FUaGHex;The Life of a Showgirl (feat. Sabrina Carpenter);12;93;True;Taylor Swift;Taylor Swift - The Life of a Showgirl (feat. Sabrina Carpenter);100;145489371,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;4.02
7wT275baetTMjwGNanHAno;The Serpent;1;53;False;Besomorph;Besomorph - The Serpent;58;146969,00;slap house;49vfE41auPohus34Iino7x;The Serpent;2025-10-03;2025;2020;1;single;3.25
6r4DKBIre2t3kU3FYMhhbN;The Way I Know;1;29;False;Padre Tóxico;Padre Tóxico - The Way I Know;26;13179,00;jazz rap;4YQutKXfSCLw7qJc4pITv4;The Way I Know;2025-10-03;2025;2020;1;single;2.15
52LucZg8sDnqlkwXL6E7uX;Turn Back Time;1;25;False;Orvyn Sol;Orvyn Sol - Turn Back Time;15;48,00;N/A;0fnBDKarUBIEuXZJT0r6DZ;Turn Back Time;2025-10-03;2025;2020;1;single;3.19
2fTj7u4KEt7JfWQw4Qgj2J;Wait For You;1;42;False;MEDZ;MEDZ - Wait For You;37;6199,00;melodic bass, future bass;5iaL4PoBJLEe9khqnoMgOu;Wait For You;2025-10-03;2025;2020;1;single;3.45
3gKR0BUqtDToXhqhTH7Opg;Rare;1;39;True;Edd Stark;Edd Stark - Rare;28;405,00;chicago drill;6OjZR1Cvok6hYjmtOlZYwQ;Rare;2025-10-03;2025;2020;1;single;2.9
2sMrvqJHSHGZ6uKcWoSNvW;Rock Your Body;2;28;False;IV Tune;IV Tune - Rock Your Body;11;54,00;N/A;5kisseh1oMsVeVpbyWBV9L;Fortune;2025-10-03;2025;2020;7;album;2.81
62V2ZHslgQV98gH4AuVXnr;Ruin The Friendship;6;92;False;Taylor Swift;Taylor Swift - Ruin The Friendship;100;145396321,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.67
4DCyPp2B9vSmkPUkctFumT;Monsters;1;38;True;IAN SIZE;IAN SIZE - Monsters;32;1844,00;melodic bass, nightcore, bass music;7FnI6a9PZTUp70KZ6whfAm;Monsters;2025-10-03;2025;2020;1;single;2.17
3yWuTOYDztXjZxdE2cIRUa;Opalite;3;97;False;Taylor Swift;Taylor Swift - Opalite;100;145443567,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.92
1k2aDzjpZVZPA2N3mMLbWq;High Or Die;1;39;False;Beatline;Beatline - High Or Die;20;475,00;future house;0T13fYBtT1GpXgtdIiHcU8;High Or Die;2025-10-03;2025;2020;2;single;2.51
4qmFC3Jz5aQ0erlk2OSi2X;Honey;11;91;True;Taylor Swift;Taylor Swift - Honey;100;145489371,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.02
0P3GQuGbDqVP9ZMs19RcUa;i don't need ur love;1;55;True;Rumelis;Rumelis - i don't need ur love;49;8741,00;dark r&b;5aLnMagPMABrEV5xexp5aJ;i don't need ur love;2025-10-03;2025;2020;2;single;2.23
29JrUHRJumKzVu5xeELYFV;It's Giving;1;40;False;Third Vibes;Third Vibes - It's Giving;24;3776,00;N/A;3qS8ON6xAgQy0IzS8ZxBGS;It's Giving;2025-10-03;2025;2020;1;single;2.49
2x3mwb96B6TquRqMtbxUE1;Actually Romantic;7;93;True;Taylor Swift;Taylor Swift - Actually Romantic;100;145396321,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;2.72
1jVMR9A0OYA8nFynsTnQsx;Broken Glass;1;32;True;Phay;Phay - Broken Glass;20;5344,00;N/A;4WZIszwKqggGyJvRiugyrS;Broken Glass;2025-10-03;2025;2020;1;single;2.27
1appZ3c336FkPvCuywfmrs;CANCELLED!;10;93;True;Taylor Swift;Taylor Swift - CANCELLED!;100;145396321,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.52
2TEQvxxQabwLQMqWMg1qGu;Wi$h Li$t;8;93;True;Taylor Swift;Taylor Swift - Wi$h Li$t;100;145396321,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.45
5ylJtmaWPJ33cW3En7WOu0;Wood;9;93;True;Taylor Swift;Taylor Swift - Wood;100;145443567,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;2.5
017erFbOyCrdz0yburnVGZ;you're a star;1;74;False;Fred again..;Fred again.. - you're a star;77;2201446,00;stutter house, house;3dmu97DsoFpSptXPtJEzCJ;you're a star;2025-10-03;2025;2020;1;single;3.65
5E2y5TSb2RJNCO01QjkgLf;Days Like These;3;75;False;Luke Combs;Luke Combs - Days Like These;83;13402920,00;country;40xQAz7RDjeznOtTYeEMLs;The Prequel;2025-10-03;2025;2020;3;single;3.69
62HoDY1Km6lm47haFpUn9c;Eldest Daughter;5;92;True;Taylor Swift;Taylor Swift - Eldest Daughter;100;145396321,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;4.1
1jgTiNob5cVyXeJ3WgX5bL;Elizabeth Taylor;2;95;False;Taylor Swift;Taylor Swift - Elizabeth Taylor;100;145489371,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.47
4O31bgaZWxZkF3uHrdyavg;Energy;1;40;False;Tolou;Tolou - Energy;28;4401,00;N/A;3RqIFGcrmoqWMV7t9S4lh2;Energy;2025-10-03;2025;2020;1;single;3.04
03bTIHJElXZ0O0jqOQvAbY;Father Figure;4;94;True;Taylor Swift;Taylor Swift - Father Figure;100;145542136,00;country, pop, indie, folk;4a6NzYL1YHRUgx9e3YZI6I;The Life of a Showgirl;2025-10-03;2025;2020;12;album;3.54
4NgPNxsqi2HQ7AnCvvRK8G;Super Woman;2;35;False;Haifa Wehbe;Haifa Wehbe - Super Woman;51;1151605,00;egyptian pop, khaleeji;5XIpOWNfS3eGY9RSxtsg8Q;Mega Haifa;2025-10-02;2025;2020;6;single;3.72
1dosSsKwYF7hoQA2kuu6wI;The Fate of Ophelia;3;75;False;Taylor Swift;Taylor Swift - The Fate of Ophelia;100;145443567,00;country, pop, indie, folk;4tFsJC9jQ0Qjj7HSExhAdm;The Life of a Showgirl (Track by Track Version);2025-10-02;2025;2020;26;album;3.76
1auysW6jt1rZwBGyEDRKWc;Ties in Texas;1;42;False;Lindsey Fish;Lindsey Fish - Ties in Texas;23;3629,00;N/A;6kKwUpSKqq2ESNPwk4mV0z;Ties in Texas;2025-10-02;2025;2020;1;single;3.11
0N979cmYBbE2TyhrW6KZu0;Till We Meet Again;1;52;False;Van Herpen;Van Herpen - Till We Meet Again;37;1081,00;N/A;0ZeOEJSTeArDoeDk9FIqrT;Till We Meet Again;2025-10-02;2025;2020;1;single;2.46
280erC1K7sdT9ngrmIW3Fl;VHS;1;36;False;Eiza Murphy;Eiza Murphy - VHS;20;4162,00;N/A;3m2rW07CPQ0m7CPRs331PV;VHS;2025-10-02;2025;2020;1;single;3.57
3SHZFceclOHREMcgZJERnf;يا قلبي أنا;1;31;False;Anthony Touma;Anthony Touma - يا قلبي أنا;20;3260,00;moroccan pop;0QJ0Q3QqJRikK1EdWzYQCS;يا قلبي أنا;2025-10-02;2025;2020;1;single;2.85
